year,major,institution,m_attrition,f_attrition,t_attrition,participant,degrees,f_en,m_en,c_en
2009,Materials Science and Engineering,487,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",21,60,81
2010,Materials Science and Engineering,487,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",18,54,72
2011,Materials Science and Engineering,487,0.019230769230769232,0.0,0.013513513513513514,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",22,52,74
2009,Mechanical Engineering,487,0.003289473684210526,0.012195121951219513,0.004347826086956522,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",82,608,690
2010,Mechanical Engineering,487,0.004777070063694267,0.0,0.004178272980501393,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",90,628,718
2011,Mechanical Engineering,487,0.007763975155279503,0.0,0.006631299734748011,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",110,644,754
2009,Mechanical Engineering,13,0.16802610114192496,0.023255813953488372,0.15853658536585366,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",43,613,656
2010,Mechanical Engineering,13,0.1027900146842878,0.11627906976744186,0.10359116022099447,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",43,681,724
2011,Mechanical Engineering,13,0.1144578313253012,0.058823529411764705,0.11048951048951049,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",51,664,715
2012,Mechanical Engineering,13,0.9447004608294931,0.7708333333333334,0.932761087267525,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",48,651,699
2010,Mechanical Engineering,437,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",187,689,876
2011,Mechanical Engineering,437,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",159,550,709
2004,Mechanical Engineering,469,0.0352760736196319,0.011904761904761904,0.03260869565217391,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",84,652,736
2005,Mechanical Engineering,469,0.03299856527977044,0.05555555555555555,0.035578144853875476,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",90,697,787
2006,Mechanical Engineering,469,0.02679830747531735,0.025974025974025976,0.026717557251908396,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",77,709,786
2007,Mechanical Engineering,469,0.030598052851182198,0.014285714285714285,0.029150823827629912,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",70,719,789
2008,Mechanical Engineering,469,0.03566529492455418,0.0,0.03225806451612903,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",77,729,806
2009,Mechanical Engineering,469,0.03129074315514994,0.021505376344086023,0.030232558139534883,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",93,767,860
2010,Mechanical Engineering,469,0.042787286063569685,0.037383177570093455,0.04216216216216216,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",107,818,925
2011,Mechanical Engineering,469,0.03818615751789976,0.0196078431372549,0.036170212765957444,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",102,838,940
2012,Mechanical Engineering,487,0.009102730819245773,0.0,0.007927519818799546,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",114,769,883
2013,Mechanical Engineering,487,0.006928406466512702,0.023622047244094488,0.00906344410876133,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",127,866,993
2014,Mechanical Engineering,487,0.002952755905511811,0.005813953488372093,0.003367003367003367,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",172,1016,1188
2012,Mechanical Engineering,422,0.010309278350515464,0.0,0.007782101167315175,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",63,194,257
2013,Mechanical Engineering,422,0.0,0.014492753623188406,0.0038461538461538464,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",69,191,260
2014,Mechanical Engineering,422,0.014018691588785047,0.0,0.010869565217391304,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",62,214,276
2013,Mechanical Engineering,75,0.0875,0.0,0.07526881720430108,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,13,80,93
2012,Mechanical Engineering,75,0.031746031746031744,0.0,0.0273972602739726,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,10,63,73
2011,Mechanical Engineering,75,0.0410958904109589,0.07142857142857142,0.04597701149425287,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,14,73,87
2010,Mechanical Engineering,75,0.05128205128205128,0.0,0.041237113402061855,"Extension Services, Academic Alliance",Bachelor's and master's degrees only,19,78,97
2011,Mechanical Engineering,182,0.08771929824561403,0.05555555555555555,0.08280254777070063,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",72,399,471
2012,Mechanical Engineering,182,0.09388646288209607,0.09090909090909091,0.09345794392523364,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",77,458,535
2013,Mechanical Engineering,182,0.07868852459016394,0.04854368932038835,0.07433380084151472,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",103,610,713
2014,Mechanical Engineering,182,0.08242612752721618,0.02654867256637168,0.07407407407407407,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",113,643,756
2014,Mechanical Engineering,373,0.05752212389380531,0.12903225806451613,0.06614785992217899,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",31,226,257
2013,Mechanical Engineering,373,0.06666666666666667,0.15625,0.07782101167315175,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",32,225,257
2012,Mechanical Engineering,373,0.09433962264150944,0.06451612903225806,0.09053497942386832,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",31,212,243
2011,Mechanical Engineering,373,0.13736263736263737,0.19047619047619047,0.14285714285714285,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",21,182,203
2014,Mechanical Engineering,41,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",28,449,477
2013,Mechanical Engineering,41,0.15300546448087432,0.038461538461538464,0.14540816326530612,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",26,366,392
2012,Mechanical Engineering,41,0.08359133126934984,0.11538461538461539,0.08595988538681948,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",26,323,349
2011,Mechanical Engineering,41,0.10596026490066225,0.17391304347826086,0.11076923076923077,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",23,302,325
2011,Mechanical Engineering,238,0.1640625,0.07692307692307693,0.15602836879432624,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",13,128,141
2012,Mechanical Engineering,238,0.19333333333333333,0.047619047619047616,0.17543859649122806,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",21,150,171
2013,Mechanical Engineering,238,0.20441988950276244,0.2,0.20388349514563106,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",25,181,206
2010,Mechanical Engineering,110,0.039473684210526314,0.029069767441860465,0.03793103448275862,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",172,988,1160
2011,Mechanical Engineering,110,0.0455005055611729,0.022727272727272728,0.04206008583690987,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",176,989,1165
2012,Mechanical Engineering,110,0.030451866404715127,0.0,0.026094276094276093,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",170,1018,1188
2013,Mechanical Engineering,110,0.04365904365904366,0.0273224043715847,0.04104803493449782,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",183,962,1145
2014,Mechanical Engineering,110,0.017526777020447908,0.010582010582010581,0.01644736842105263,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",189,1027,1216
2015,Mechanical Engineering,373,0.10833333333333334,0.034482758620689655,0.09395973154362416,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",58,240,298
2015,Mechanical Engineering,110,0.00796812749003984,0.0070921985815602835,0.007829977628635347,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",141,753,894
2014,Mechanical Engineering,238,0.16666666666666666,0.022727272727272728,0.14388489208633093,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",44,234,278
2015,Mechanical Engineering,238,0.18360655737704917,0.08,0.16901408450704225,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",50,305,355
2015,Mechanical Engineering,41,0.16876574307304787,0.1935483870967742,0.1705607476635514,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",31,397,428
2010,Computer Systems Engineering,13,0.09523809523809523,0.16666666666666666,0.1111111111111111,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",6,21,27
2011,Computer Systems Engineering,13,0.07692307692307693,0.0,0.061224489795918366,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",10,39,49
2008,Computer Systems Engineering,117,0.10236220472440945,0.05555555555555555,0.09655172413793103,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",36,254,290
2009,Computer Systems Engineering,117,0.09302325581395349,0.10714285714285714,0.0944055944055944,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",28,258,286
2010,Computer Systems Engineering,117,0.14227642276422764,0.23333333333333334,0.15217391304347827,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",30,246,276
2011,Computer Systems Engineering,117,0.11272727272727273,0.21212121212121213,0.12337662337662338,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",33,275,308
2012,Computer Systems Engineering,117,0.1347517730496454,0.1891891891891892,0.14106583072100312,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",37,282,319
2013,Computer Systems Engineering,117,0.11041009463722397,0.11428571428571428,0.11079545454545454,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",35,317,352
2009,Biosystems Engineering,487,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",38,90,128
2010,Biosystems Engineering,487,0.0,0.0,0.0,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",48,100,148
2011,Biosystems Engineering,487,0.0,0.016666666666666666,0.005917159763313609,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",60,109,169
2010,Engineering Technology,110,0.04091456077015644,0.037267080745341616,0.04032258064516129,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",161,831,992
2011,Engineering Technology,110,0.03753026634382567,0.033783783783783786,0.03696098562628337,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",148,826,974
2012,Engineering Technology,110,0.038238702201622246,0.04878048780487805,0.03955375253549696,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",123,863,986
2013,Engineering Technology,110,0.032362459546925564,0.015037593984962405,0.03018867924528302,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",133,927,1060
2014,Engineering Technology,110,0.03538928210313448,0.04081632653061224,0.03609154929577465,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",147,989,1136
2015,Engineering Technology,110,0.045351473922902494,0.03496503496503497,0.04390243902439024,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",143,882,1025
2007,Computational Biology,114,0.5,0.25,0.35714285714285715,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",8,6,14
2008,Computational Biology,114,0.18181818181818182,0.0,0.07692307692307693,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",15,11,26
2009,Computational Biology,114,0.05555555555555555,0.1111111111111111,0.07407407407407407,"Extension Services, Academic Alliance","Bachelor's, master's, and Ph.D. degrees",9,18,27
2012,Management Information Systems,120,0.4326241134751773,0.35714285714285715,0.41530054644808745,Academic Alliance,Bachelor's and master's degrees only,42,141,183
2013,Management Information Systems,120,0.1945392491467577,0.13636363636363635,0.18110236220472442,Academic Alliance,Bachelor's and master's degrees only,88,293,381
2014,Management Information Systems,120,0.12422360248447205,0.125,0.12437810945273632,Academic Alliance,Bachelor's and master's degrees only,80,322,402
